S/N,Job Title,Job Description,Agency,Department
11,[LTA-IDE] ASSISTANT SURVEYOR,"</strong></p>ASSISTANT SURVEYOR<p></p><p><strong> </strong></p><ul><li><p><span>Knowledge in any discipline, preferably with related modules on Land Surveying</span></p></li><li><p><span>Relevant experience may be considered;</span></p></li><li><p><span>Team player and interest in construction environment;</span></p></li><li><p><span>Good interpersonal and communication skills</span></p></li></ul> </strong></p><p><span>You will be part of a survey team in planning, executing and finalising survey works pertaining to the construction of Rail and Road projects.</span></p><p></p><p><strong>",Land Transport Authority,Building and Estate Management
12,"[LTA-TRO] DEPUTY / MANAGER, ENFORCEMENT","</strong></p>DEPUTY / MANAGER, ENFORCEMENT<p></p><p><strong> </strong></p><p><span>• At least 3 years of working experience is preferred<br />• Past experience in enforcement, regulatory and supervisory functions would be advantageous<br /><span>• Positive attitude and able to thrive in a fast-paced working environment<br />• Good conceptual, planning and organising skills<br />• Bilingual with good communication (verbal and written) and leadership skills<br />• Resourceful, independent and self-motivated as well as a team player</span></span></p> </strong></p><ul><li><p>Lead and manage the Vehicle Enforcement’s Feedback Management Team (3 executives)</p><ul><li><p>Effective triage (classification and assessment) of feedback</p></li><li><p>Prompt distribution and dissemination of case files for follow up; as well as timely update in feedback management system</p></li><li><p>Prompt handling of appeals and high-profile cases, including potential updates to management on case status</p></li></ul></li><li><p>In-depth analysis of Vehicle Enforcement’s feedback</p><ul><li><p>Trend analysis, including source of feedback, areas/locations of interest, emerging areas of enforcement concerns</p></li><li><p>Periodic reports to management on feedback analysis, as well as responsible to handle request for feedback analysis from other departments</p></li><li><p>Work with Ops team to plan for efficient deployment of resources, e.g. deployment to certain locations with high concentration of feedback</p></li></ul></li><li><p>Identify tools and new technology for more efficient feedback management and handling, e.g. AI for quick analysis of long feedback, data analysis, dashboarding for overall feedback health status.</p></li><li><p>Collaborate with <span>EC3S</span>/tech teams to streamline feedback flow from feedback management system (EFMS) to case management system (EC3S)</p><ul><li><p>Explore possibility of single source of truth for all data flow</p></li><li><p>Tap on case management system’s capabilities and data for analysis and performance tracking, e.g. time taken to respond to cases, geo-tagging of incidents, etc</p></li></ul></li></ul><p></p><p>In addition, you are also expected to support the section in all operations matters, including but not limited to writing of contractual papers, budgeting, management of staff, and formulation/review of deployment plans, enforcement strategies, policies and business continuity plans.</p><p></p><p><strong>",Land Transport Authority,Enforcement
13,"[LTA-PT] ASSISTANT MANAGER, BUS SERVICE CONTRACT MANAGEMENT","</strong></p>Assistant Manager, Bus Service Contract Management<br><br>Join our dynamic team as an Assistant Manager in Bus Service Contract Management, where you will play a pivotal role in overseeing and optimising bus service operations across Singapore's public transport network.<p></p><p><strong> </strong></p><ul><li><p>Knowledge in contract management principles and practices.<br /> </p></li><li><p>Meticulous attention to detail with excellent organisational capabilities.<br /> </p></li><li><p>Strong multitasking abilities, adaptability and resilience in a fast-paced, dynamic environment.<br /> </p></li><li><p>Proven ability to work both independently with minimal supervision and collaboratively as a team player.<br /> </p></li><li><p>Advanced proficiency in Microsoft Office applications.<br /> </p></li><li><p>Excellent written, verbal, and interpersonal communication skills.<br /> </p></li><li><p>Previous experience in the bus industry or transport sector will be advantageous.</p></li></ul><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</p> </strong></p><p>As part of our collaborative team, you will take ownership of managing bus service contracts <span>and other contracts</span> whilst working closely with contracted operators, LTA divisions, and key stakeholders. Your responsibilities will encompass proactive contract management, performance monitoring, and compliance oversight.</p><p></p><p>You will be responsible for reviewing and reporting on operator performance against contractual requirements, processing essential documentation and payments, and supporting the seamless implementation of bus services following tender awards. We are looking for someone with natural curiosity who actively seeks opportunities to streamline processes through automation and innovation, driving improvements in both efficiency and effectiveness.</p><p></p><p><strong>",Land Transport Authority,Others
14,"[LTA-MDET] PRINCIPAL DEVELOPER, FULL STACK","</strong></p>PRINCIPAL DEVELOPER, FULL STACK<p></p><p><strong> </strong></p><p>•    At least 7 years of experience building full stack web applications, with a strong track record of building and shipping web-based applications.<br />•    Highly familiar with frontend and backend languages, including JavaScript, Python, HTML and associated UI libraries (e.g. Angular Material, Prime)<br />•    Proficiency in frontend frameworks (e.g. Angular, Node.js), backend frameworks (e.g. Fast API, Django), and building an event-driven, web-services based architecture. Highly familiar with enterprise data flows (e.g., ESB, API GW, MQ, AWS Kafka).<br />•    Experience in configuring and deploying to cloud platforms, including setting up instances, storage, and connectivity. Cloud certification (e.g. AWS Certified Associate and up) and experience working on Government Commercial Cloud is an advantage.<br />•    A strong command of Git workflows, as well as automated testing (e.g. Selenium, Playwright, or equivalent), is essential to succeed in the role.<br />•    Know-how to integrate AI tools (e.g. Copilot, Cursor) to accelerate development while ensuring compliance with organisational governance and controls.<br />•    Strong communication and collaboration skills, you proactively seek feedback, handle ambiguity, and get things done.<br />•    Comfortable in a startup-like setting, where roles flex and speed matters, and bring a proactive attitude and strong ownership mentality to the table.<br /> </p> </strong></p><p>Join a team of changemakers on a mission to redesign the motoring experience – creating a future where transactions happen effortlessly, touchpoints are thoughtfully designed, and where every interaction in a delight. You will be part of a team to reinvent the One Motoring platform, building new capabilities to enable real-time billing, personalised dashboards, and intuitive user flows.</p><p><br />As our Principal Developer, Full Stack, you’ll work across the stack to build clean frontend components and robust backend systems. You’ll be part of a tight-knit software team, where everyone contributes to design, delivery, and quality. You’ll be involved in cloud deployment, coding, integration, and agile delivery, with plenty of room to grow and take ownership.</p><p><br />What You’ll Do<br />•    Deliver Full Stack Features: Design, build, and maintain both frontend and backend, writing well-structured, easily maintainable, and testable code across the stack, contributing to robust and production-ready systems.<br />•    Work Across the Stack: Collaborate with fellow developers to build, test, and ship high-quality features, while maintaining robust documentation and clear modularity.<br />•    Support Cloud Deployments: Help configure development environments, CI/CD pipelines, manage codebase versioning, and set up the staging cloud infrastructure.<br />•    Test, Validate, and Refine: Write unit and integration tests, participate in code reviews, and debug issues across environments.<br />•    Co-Creating Requirements: Collaborate with product managers, designers, and other developers to refine designs, iterate quickly, and respond to evolving user needs.<br /> </p><p></p><p><strong>",Land Transport Authority,"InfoComm, Technology, New Media Communications"
15,"[LTA-TRO] EXECUTIVE/ ENGINEER, 1 PLANNING COMPLIANCE","</strong></p>[LTA-TRO] EXECUTIVE/ ENGINEER, DEVELOPMENT &amp; BUILDING CONTROL(ROADS)<p></p><p><strong> </strong></p><p>∙ Knowledge in Civil / Structural Engineering<br />∙ At least 5 years experience in road design or construction preferred<br />∙ Resourceful, analytical, able to thrive in a demanding work environment<br />∙ Team player with good interpersonal and communication skills<br />∙ Excellent writing and presentation skills<br />∙ Self-motivated, able to multi-task and keen to learn<br />∙ Candidates with prior experience in dealing with public will be an advantage<br />∙ Candidates without experience may also apply</p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</p> </strong></p><p><span>We are seeking an individual to lead, manage and supervise to evaluate development proposal plans (including design of new streets) submitted for Roads &amp; Parking clearance to ensure compliance with LTA’s prevailing requirements and guidelines.<br /><br />You will be required to carry out analysis, prepare reports and present findings to senior management. You are required to work with developers, their architectural and engineering consultants and builders. You will also co-ordinate and liaise with LTA architects, planners and engineers. You will also attend to public enquiries and feedback. There are also opportunities to work on process improvement projects within LTA and with other organisations.</span></p><p></p><p><strong>",Land Transport Authority,Engineering
16,[LTA-IDE] SENIOR / EXECUTIVE ARCHITECT,"</strong></p>SENIOR / EXECUTIVE ARCHITECT<p></p><p><strong> </strong></p><p>•    Knowledge in Architecture, preferably recognised by the Board of Architects, Singapore<br />•    At least 3 years of relevant working experience in architectural design and practice<br />•    Good knowledge of BIM, CAD software (incl. AutoCAD, Sketchup, micro station and Revit) and functional drafting capability<br />•    Able to communicate ideas and concepts well via writing and speaking<br />•    Able to work in multi-disciplinary team<br />•    Interest in design and problem solving<br />•    Experience in rail projects will be an advantage<br />•    Able to multi task and with good time management skill</p> </strong></p><p>You will be required to carry out schematic designs proposals and  coordination management of enhancement works for existing MRT station buildings and related infrastructure, from conceptualization to construction. You will be involved in projects to promote quality architectural design and a sustainable transport environment. Specifically you will be involved in preparation of tender specifications / execute feasibility studies/documentation / liaises and coordinate with consultants and contractor/ design and site management of the architectural aspect of the projects. You will also be required to write proposal funding papers, prepare and make presentations. You will also be responsible to review developer’s building plan submissions and contractor’s shop drawings.</p><p></p><p><strong>",Land Transport Authority,Building and Estate Management
17,"[LTA-TRO] ASSISTANT ENGINEER, ROAD FACILITY CONSTRUCTION","</strong></p>You will be involved in the upgrading and maintenance of road, road/commuter structure and related facilities projects.<p></p><p><strong> </strong></p><p>• Knowledge in Civil / Structural Engineering</p><p>• At least 2 years of experience in construction supervision of civil / building engineering projects preferred</p><p>• Knowledgeable of building codes and construction safety regulations</p><p>• Pro-active with strong communication and problem-solving skills</p><p>• Prepared to work on site and perform night work<br />• Those without experience are also welcomed to apply</p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</p> </strong></p><p>You will be responsible for the supervision of site/ construction operations, ensuring that works are carried out in accordance with contract specifications, design, safety requirements and quality standards. You will also be involved in administrative functions as part of project coordination on contractual, technical and public relations matters.</p><p></p><p><strong>",Land Transport Authority,Engineering
18,"[LTA-TRO] ASST MANAGER, WARRANT ENFORCEMENT, VIOLATION MGMT","</strong></p>ASST MANAGER, WARRANT ENFORCEMENT, VIOLATION MGMT<p></p><p><strong> </strong></p><p><span>[What we are looking for]</span><br /><span>• Knowledge in any discipline</span><br /><span>• Preferably 3 years of working experience in the enforcement, legal and/ or service industry</span><br /><span>• 2 years in a supervisory capacity will be advantageous</span><br /><span>• Experience in process improvement and service design, and implementation of complex business systems will be an added advantage</span><br /><span>• Positive attitude and able to thrive in a fast-paced working environment</span><br /><span>• Possess strong communication skills with an excellent command of the English language – able to prepare and deliver clear written, verbal, and visual proposals to senior management</span><br /><span>• Enjoy meeting people and possesses a flair for customer service</span><br /><span>• Good analytical, communication (verbal and written) and leadership skills</span><br /><span>• Team player who is resourceful, analytical, self-motivated and confident</span><br /><span>• Having class 3 driving licence will be an advantage</span><br /><br /><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</span></p> </strong></p><p><span>[What you will be working on]</span><br /><span>You will be assisting Senior Manager, Violation Management in the administration and supervision of daily operations of the Warrant Enforcement Section.</span><br /><br /><span>• Assist to oversee the warrant operations and handle queries by members of public.</span><br /><span>• Compile and present warrant statistics on a weekly and monthly basis.</span><br /><span>• Liaise with external enforcement/government agencies as well as private establishments/organisations in establishing information on warrant offenders.</span><br /><span>• Investigate and reply appeals/feedbacks and calls received.</span><br /><span>• Formulate and implement plans to facilitate enhancement to the operational workflow to improve efficiency and effectiveness.</span><br /><span>• Conduct training for new and existing staff in Warrant Enforcement Section.</span><br /><span>• Lead and/or support tender projects or ad-hoc projects.</span></p><p></p><p><strong>",Land Transport Authority,Enforcement
19,"[LTA-TRO] EXEC/ ENGINEER, ROADWORK PLANNING, ROAD WORKS REGULATION & LICENSING","</strong></p>EXEC/ ENGINEER, ROADWORK PLANNING, ROAD WORKS REGULATION &amp; LICENSING<p></p><p><strong> </strong></p><ul><li><p>Knowledge in Civil / Traffic / Transportation Engineering or other related fields</p></li><li><p>Experience in or good knowledge of project management and/or policy development will be an added advantage</p></li><li><p>Good communication, stakeholder management and presentation skills</p></li><li><p>Strong writing, analytical and problem-solving skills, with meticulous attention to details</p></li><li><p>Able to work independently and in teams</p></li><li><p>Highly organised with ability to prioritise and manage multiple projects independently</p></li><li><p>Self-motivated, adaptable and possesses growth mindset</p></li><li><p>Candidates without working experience are also welcome to apply</p></li></ul><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</p> </strong></p><p><span>As part of the team, you will be responsible for the advanced planning, coordination, and oversight of works on road.</span></p><p></p><p>The role offers the opportunity to drive meaningful change to transform how we manage road work, leading to tangible improvements in traffic flow, work efficiency and motorists’ experience, using data driven insights.</p><p></p><p>You will also support the formulation of data-driven policies that strengthen road work planning and execution. This includes leveraging on traffic data to sense make and derive insights that inform strategic decisions. You will also play a key role in uplifting industry capabilities by actively engaging the road work industry to strengthen adherence to LTA’s standards. In addition, you will also collaborate with internal stakeholders, external agencies to align road work strategies with broader national efforts, such as optimizing the use of underground space.</p><p></p><p><strong>",Land Transport Authority,Engineering
20,"[LTA-TRO] SENIOR/ EXECUTIVE/ ENGINEER, ROAD FACILITY CONSTRUCTION","</strong></p>You will manage the upgrading and maintenance of road, road/commuter structure and related facilities projects.<p></p><p><strong> </strong></p><p>• Knowledge in Civil / Structural Engineering</p><p>• At least 2 years of relevant experience in project / construction environment, or in civil / structural design preferred</p><p>• Strong leadership skill with good knowledge in building codes and construction safety regulations</p><p>• Experience in Transformation &amp; Productivity for workplace / construction industry will be an advantage</p><p>• Detail-oriented and pro-active with strong analytical, written and verbal communication skills</p><p>• Those without experience are also welcomed to apply</p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</p> </strong></p><p>You will be responsible for the supervision and timely completion of projects, ensuring that works are carried out in accordance with budget, contract specifications, design, safety requirements and quality standards. As part of project coordination on contractual, technical and public relations matters, you will be required to work closely with contractors, design consultants, government agencies and community stakeholders.</p><p></p><p><strong>",Land Transport Authority,Engineering
21,"[LTA-TRO] EXECUTIVE/ ENGINEER, INNOVATION & ANALYTICS","</strong></p>EXECUTIVE/ ENGINEER, INNOVATION &amp; ANALYTICS<p></p><p><strong> </strong></p><p>[What we are looking for]</p><ul><li><p>Knowledge preferably in Civil / Traffic / Transportation Engineering, Data Analytics or other related technical fields acceptable;</p></li><li><p>Experience and exposure in programming (such as Python and SQL), data visualisation software (such as Tableau or PowerBI) and GIS tools (such as ArcGIS or QGIS) will be considered favourably;</p></li><li><p>Self-motivated, adaptable, fast learner with a strong sense of responsibility;</p></li><li><p>Strong problem-solving ability;</p></li><li><p>Organised, meticulous and attention to detail;</p></li><li><p>Ability to work both independently and collaboratively in a fast-paced environment;</p></li><li><p>Good writing, communication, analytical and interpersonal skills;</p></li><li><p>Candidates without experience but have strong interest in traffic transportation are welcome to apply.</p></li></ul><p></p><p><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and /or undergo further assessment.</span></p> </strong></p><p>[What you will be working on]</p><p></p><p><span>Every day, countless journeys are made on our roads. An unseen battle is waged daily against congestion and inefficiency.  </span></p><p></p><p><span>Join us in steering the future of how Singapore commutes.</span></p><p></p><p><span>As part of our dynamic team, you will have the opportunity to drive meaningful change, through the combination of 1) Traffic engineering knowledge, 2) Advanced data analytics, 3) Geo-spatial insights and 4) Compelling data visualisation. You will have the opportunity to blend these skills in real-world operations to keep Singapore moving.</span></p><p></p><p><span>Conduct studies to identify traffic trends, issues and areas for improvement and contribute to the formulation of traffic management policies and strategies that improve traffic on our roads. Collaborate with various stakeholders in LTA, MOT and other agencies and ensure the smooth and reliable execution of traffic demand management operations. Shape the future and improve Singapore’s transport scene by staying abreast of advancements in smart technologies, big data and other intelligent tools to enhance traffic and demand management strategies. </span></p><p></p><p><span>Together, we can make commuting a better experience for all.</span></p><p></p><p><strong>",Land Transport Authority,Statistics
22,"[LTA-TRO] DEPUTY/ ASST MANAGER, APPEALS","</strong></p>DEPUTY/ ASST MANAGER, APPEALS<p></p><p><strong> </strong></p><ul><li><p>Knowledge in any discipline</p></li><li><p>Preferably at least 4 to 5 years of relevant experience, ideally in enforcement functions or customer service</p></li><li><p>Good communication, writing, interpersonal and analytical skills</p></li><li><p>Self-motivated, able to work independently and as a team in a dynamic environment</p></li><li><p>Meticulous and resourceful</p></li><li><p>Proficient in Microsoft Office applications (Excel, Word, PowerPoint)</p></li></ul><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</p> </strong></p><p>You will be responsible for overseeing a team handling appeals arising from offences committed under the Road Traffic Act, Active Mobility Act and other Acts under LTA’s administration and their subsidiary legislation. Your core duties include reviewing and responding to appeals, preparing comprehensive reports with analysis and recommendations, and monitoring key performance indicators. There will be opportunities to collaborate with various LTA divisions, government and external agencies, communities, and the public to resolve multi-faceted issues while managing escalated enquiries from the public and other agencies. Additionally, you will spearhead developmental projects to streamline work processes and enhance operational efficiency of the team.</p><p></p><p><strong>",Land Transport Authority,Enforcement
